best_epoch,training mae loss,validation mae loss,training time,validation time
1,0.040936303551058775,"tensor(0.0379, dtype=torch.float64)",0:01:31,0:00:01
3,0.040690633308510755,"tensor(0.0376, dtype=torch.float64)",0:01:30,0:00:01
36,0.039074640456190114,"tensor(0.0374, dtype=torch.float64)",0:01:27,0:00:01
37,0.038494142285203946,"tensor(0.0367, dtype=torch.float64)",0:01:27,0:00:01
38,0.037706327534461,"tensor(0.0366, dtype=torch.float64)",0:01:27,0:00:01
39,0.03745031701312066,"tensor(0.0362, dtype=torch.float64)",0:01:27,0:00:01
40,0.03722179133585928,"tensor(0.0361, dtype=torch.float64)",0:01:27,0:00:01
41,0.03650086954006196,"tensor(0.0355, dtype=torch.float64)",0:01:27,0:00:01
42,0.035958735638890287,"tensor(0.0343, dtype=torch.float64)",0:01:30,0:00:01
43,0.035028714819417,"tensor(0.0326, dtype=torch.float64)",0:01:30,0:00:01
44,0.03459942254989145,"tensor(0.0324, dtype=torch.float64)",0:01:27,0:00:01
45,0.03409061774377345,"tensor(0.0309, dtype=torch.float64)",0:01:29,0:00:01
46,0.033517819571728724,"tensor(0.0306, dtype=torch.float64)",0:01:30,0:00:01
52,0.031030022677922254,"tensor(0.0300, dtype=torch.float64)",0:01:27,0:00:01
54,0.030269102842760104,"tensor(0.0295, dtype=torch.float64)",0:01:27,0:00:01
56,0.029919364022965435,"tensor(0.0286, dtype=torch.float64)",0:01:27,0:00:01
57,0.029515295310139623,"tensor(0.0285, dtype=torch.float64)",0:01:27,0:00:01
58,0.029507078373222344,"tensor(0.0278, dtype=torch.float64)",0:01:29,0:00:01
72,0.026998723649153716,"tensor(0.0272, dtype=torch.float64)",0:01:28,0:00:01
91,0.024431542890458093,"tensor(0.0270, dtype=torch.float64)",0:01:28,0:00:01
